Job Title,Company Name,Location,Job Skill,Date,Link
Supply Planner,Diversey Egypt -,"Heliopolis, Cairo, Egypt",Full TimeExperienced · 2 - 5 Yrs of Exp · Logistics/Supply Chain · Logistics · Manufacturing · Supply Chain · Planning,20 days ago,https://wuzzuf.net/jobs/p/l5VYZC4EYLfz-Supply-Planner-Diversey-Egypt-Cairo-Egypt?o=39&l=sp&t=sj&a=None|search-v3|hpb
Technical office Engineer,CONTROL PLUS TRADING -,"Haram, Giza, Egypt",Full TimeExperienced · 4 - 6 Yrs of Exp · Engineering - Mechanical/Electrical · Technical Office Engineering · Electrical Engineering · Electrical power · Electrical · Control,19 days ago,https://wuzzuf.net/jobs/p/XD28xyxtssu6-Technical-office-Engineer-CONTROL-PLUS-TRADING-Giza-Egypt?o=40&l=sp&t=sj&a=None|search-v3|hpb
Full Stack Java Developer,Systems Limited -,"Cairo, Egypt",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · MongoDB · MySQL · JUnit · Mockito · Jenkins · spinnaker · Docker,19 days ago,https://wuzzuf.net/jobs/p/fCh2spMNS7DI-Full-Stack-Java-Developer-Systems-Limited-Cairo-Egypt?o=41&l=sp&t=sj&a=None|search-v3|hpb
Finance Operation Specialist,Multi Level Group (MLG) -,"Maadi, Cairo, Egypt",Full TimeExperienced · 3 - 6 Yrs of Exp · males_only · Accounting/Finance · Banking · Operations/Management · Analysis · analytical · Communication · Microsoft Office · Operations · Planning · SAP,20 days ago,https://wuzzuf.net/jobs/p/n7YJFlc7yeJj-Finance-Operation-Specialist-Multi-Level-Group-MLG-Cairo-Egypt?o=42&l=sp&t=sj&a=None|search-v3|hpb
Student Information System Specialist,Zewail City -,"6th of October, Giza, Egypt",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Information Technology (IT) · Information Systems · Management · SQL · Technical Support · Troubleshooting · Communication · Computer Science · Installation,20 days ago,https://wuzzuf.net/jobs/p/Qe7at2jkkdr7-Student-Information-System-Specialist-Zewail-City-Giza-Egypt?o=43&l=sp&t=sj&a=None|search-v3|hpb
Technical Support Officer,Zewail City -,"Giza, Egypt",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Skills · Microsoft Office · Information Technology (IT) · Communication skills · Software · English · Google Workspace,20 days ago,https://wuzzuf.net/jobs/p/1cVON10due3Y-Technical-Support-Officer-Zewail-City-Giza-Egypt?o=44&l=sp&t=sj&a=None|search-v3|hpb
Technical Sales Engineer,Samoral -,"Smouha, Alexandria, Egypt",Full TimeEntry Level · 0 - 2 Yrs of Exp · males_only · Sales/Retail · Engineering - Oil & Gas/Energy · Technical Sales · sales skills · Sales engineer · communication skills · english · Chemical Engineering · Petrochemical Engineering · negotiation skills,24 days ago,https://wuzzuf.net/jobs/p/r5uwyJYePqKW-Technical-Sales-Engineer-Samoral-Alexandria-Egypt?o=45&l=sp&t=sj&a=None|search-v3|hpb
Guest Relations Executive - (German - English ),OceanAir Travels -,"Cairo, Egypt",Full TimeEntry Level · 1+ Yrs of Exp · Customer Service/Support · Hospitality/Hotels/Food Services · Tourism/Travel · Customer Service · Communication Skills · French · Vacancies · Tourism · Travel · English,1 day ago,https://wuzzuf.net/jobs/p/eovc3B9ABIlq-Guest-Relations-Executive---German---English-OceanAir-Travels-Cairo-Egypt?o=46&l=sp&t=sj&a=None|search-v3|hpb
IS Support Team Lead,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt",Full TimeExperienced · 5 - 7 Yrs of Exp · Engineering - Telecom/Technology · Customer Support · Ticketing Systems · Project Management,2 days ago,https://wuzzuf.net/jobs/p/0qzOIwuSQvct-IS-Support-Team-Lead-Seoudi-Supermarket-Giza-Egypt?o=47&l=sp&t=sj&a=None|search-v3|hpb
Brand Manager,Coca-Cola Company -,"Nasr City, Cairo, Egypt",Full TimeManager · 5 - 10 Yrs of Exp · Marketing/PR/Advertising · Communication · Branding · Communication skills · Marketing · Marketing Campaigns,3 days ago,https://wuzzuf.net/jobs/p/fKd9ixSzpE58-Brand-Manager-Coca-Cola-Company-Cairo-Egypt?o=48&l=sp&t=sj&a=None|search-v3|hpb
